# 
# Framework	Benchmark	(entityCount)	Mode	Score	error	Units
artemis-0.6.5	baseline	1024	avgt	2.925	0.042	us/op
artemis-0.6.5	baseline	4096	avgt	11.800	0.550	us/op
artemis-0.6.5	baseline	16384	avgt	48.007	4.246	us/op
artemis-0.6.5	baseline	65536	avgt	329.999	90.766	us/op
artemis-0.6.5	packed	1024	avgt	8.397	0.334	us/op
artemis-0.6.5	packed	4096	avgt	32.997	1.050	us/op
artemis-0.6.5	packed	16384	avgt	131.482	6.701	us/op
artemis-0.6.5	packed	65536	avgt	709.661	27.836	us/op
artemis-0.6.5	plain	1024	avgt	5.885	0.311	us/op
artemis-0.6.5	plain	4096	avgt	31.141	5.907	us/op
artemis-0.6.5	plain	16384	avgt	106.709	43.646	us/op
artemis-0.6.5	plain	65536	avgt	908.817	54.062	us/op
artemis-0.6.5	pooled	1024	avgt	5.407	0.767	us/op
artemis-0.6.5	pooled	4096	avgt	25.946	0.418	us/op
artemis-0.6.5	pooled	16384	avgt	104.533	29.109	us/op
artemis-0.6.5	pooled	65536	avgt	888.748	30.175	us/op
ashley-1.0.1	baseline	1024	avgt	7.250	1.676	us/op
ashley-1.0.1	baseline	4096	avgt	33.353	47.442	us/op
ashley-1.0.1	baseline	16384	avgt	127.311	8.656	us/op
ashley-1.0.1	baseline	65536	avgt	1166.514	25.681	us/op
ashley-1.0.1	plain	1024	avgt	24.445	4.160	us/op
ashley-1.0.1	plain	4096	avgt	76.840	8.491	us/op
ashley-1.0.1	plain	16384	avgt	779.868	69.083	us/op
ashley-1.0.1	plain	65536	avgt	5086.022	781.290	us/op
artemis-0.4.0	baseline	1024	avgt	2.915	0.287	us/op
artemis-0.4.0	baseline	4096	avgt	11.525	1.140	us/op
artemis-0.4.0	baseline	16384	avgt	45.941	9.776	us/op
artemis-0.4.0	baseline	65536	avgt	326.183	105.805	us/op
artemis-0.4.0	plain	1024	avgt	6.544	2.655	us/op
artemis-0.4.0	plain	4096	avgt	35.647	11.871	us/op
artemis-0.4.0	plain	16384	avgt	141.881	117.303	us/op
artemis-0.4.0	plain	65536	avgt	1427.454	165.220	us/op
